country,period,year,series,survey,education_groups,positive_incomes,positive_workers,stated_workers,payroll,published_total_income_usd_2017_ppp,published_total_workers,synthetic_income_usd_2017_ppp,income_reconstruction_error,worker_reconstruction_error,complete,dashboard_cells_matched,maximum_dashboard_gap,total_dashboard_gap
Chile,2022-Q4,2022,2,NENE,3,True,True,9004659.0,10989404440.5,1233.0,9017207.0,1220.4131706153448,-0.01020829633791985,-0.0013915617108490467,True,3,0.0,0.0
Chile,2023-Q4,2023,2,NENE,3,True,True,9283492.0,11862432492.2,1290.9,9291127.0,1277.7985366066994,-0.010149092410954155,-0.000821751763806479,True,3,0.0,0.0
Colombia,2016-Q4,2016,1,GEIH,3,True,True,22551116.0,16880349034.0,754.6,22561503.0,748.5371914188194,-0.008034466712404799,-0.00046038599467420233,True,3,0.0,0.0
Colombia,2017-Q4,2017,1,GEIH,3,True,True,22604556.0,17056708070.5,761.4,22609309.0,754.5694801747046,-0.008971000558570225,-0.00021022314304254056,True,3,0.0,0.0
Colombia,2018-Q4,2018,1,GEIH,3,True,True,22647015.0,17550943556.0,781.5,22649215.0,774.9782280799478,-0.008345197594436563,-9.713360926636972e-05,True,3,0.0,0.0
Colombia,2019-Q4,2019,1,GEIH,3,True,True,22644378.0,17121543454.7,762.5,22646657.0,756.1057077699375,-0.008385957023032848,-0.00010063295434730167,True,3,0.0,0.0
Colombia,2020-Q4,2020,1,GEIH,3,True,True,21159681.0,15627321362.099998,743.8,21161485.0,738.5423892779858,-0.007068581234221823,-8.524921573320587e-05,True,3,0.0,0.0
Colombia,2021-Q4,2021,2,GEIH,3,True,True,20971772.0,16888422415.599998,811.3,20972431.0,805.2930584787971,-0.007404094072726318,-3.142220374929354e-05,True,3,0.0,0.0
Colombia,2022-Q4,2022,2,GEIH,3,True,True,22313714.0,19533808229.2,880.4,22314249.0,875.4171640453939,-0.005659740975245475,-2.3975711662982698e-05,True,3,0.0,0.0
Colombia,2023-Q4,2023,2,GEIH,3,True,True,22830432.0,20621232590.0,907.7,22831131.0,903.2344455856113,-0.004919636900285059,-3.061609168639083e-05,True,3,0.0,0.0
Costa Rica,2016-Q4,2016,1,ECE,3,True,True,2062547.0,2677906936.6,1328.4,2063366.0,1298.349534143949,-0.022621549123796297,-0.00039692424901835156,True,3,0.0,0.0
Costa Rica,2017-Q4,2017,1,ECE,3,True,True,1993715.0,2552247318.3,1295.2,1995256.0,1280.1465195878047,-0.011622514215715961,-0.0007723319714362468,True,3,0.0,0.0
Costa Rica,2018-Q4,2018,1,ECE,3,True,True,2159350.0,2623731677.0,1224.4,2164030.0,1215.056233125709,-0.0076313025761933,-0.0021626317564913612,True,3,0.0,0.0
Costa Rica,2019-Q4,2019,1,ECE,3,True,True,2181910.0,2676779947.9,1234.3,2182280.0,1226.805848041395,-0.0060715806194644876,-0.00016954744579064098,True,3,0.0,0.0
Costa Rica,2020-Q4,2020,1,ECE,3,True,True,1950686.0,2206775223.7000003,1144.0,1951684.0,1131.2816228239708,-0.011117462566459098,-0.0005113532723535162,True,3,0.0,0.0
Costa Rica,2021-Q4,2021,1,ECE,3,True,True,2102153.0,2486445883.7,1196.6,2103708.0,1182.8091883416669,-0.01152499720736507,-0.0007391710256366378,True,3,0.0,0.0
Costa Rica,2022-Q4,2022,1,ECE,3,True,True,2172015.0,2339033280.6000004,1086.7,2173061.0,1076.8955465777171,-0.00902222639392924,-0.00048134865979371954,True,3,0.0,0.0
Costa Rica,2023-Q4,2023,1,ECE,3,True,True,2079257.0,2558580745.8,1228.0,2080392.0,1230.5264552674346,0.0020573739962822355,-0.0005455702579129318,True,3,0.0,0.0
Costa Rica,2024-Q4,2024,1,ECE,3,True,True,2231211.0,2910405498.2,1315.4,2231211.0,1304.4062162655166,-0.008357749532068942,0.0,True,3,0.0,0.0
Dominican Republic,2016-Q4,2016,1,ECFNT,3,True,True,4307379.0,3441745055.2,800.5,4312610.0,799.0346461734619,-0.0018305481905535896,-0.001212954568115364,True,3,0.0,0.0
Dominican Republic,2017-Q4,2017,1,ECFNT,3,True,True,4427974.0,3509443236.0,793.6,4432512.0,792.5618434073913,-0.001308161028992872,-0.0010237986947356263,True,3,0.0,0.0
Dominican Republic,2018-Q4,2018,1,ECFNT,3,True,True,4575858.0,3982418888.8,871.6,4582531.0,870.3108551008357,-0.0014790556438323596,-0.0014561821840375984,True,3,0.0,0.0
Dominican Republic,2019-Q4,2019,1,ECFNT,3,True,True,4713023.0,3999830328.8,849.2,4715521.0,848.6761742516428,-0.0006168461473825244,-0.000529739979951314,True,3,0.0,0.0
Dominican Republic,2020-Q4,2020,1,ECFNT,3,True,True,4415065.0,3197405641.3999996,724.9,4418268.0,724.203526199501,-0.0009607860401420979,-0.0007249447068398748,True,3,0.0,0.0
Dominican Republic,2021-Q4,2021,1,ECFNT,3,True,True,4689076.0,3490121372.4,744.8,4691815.0,744.3089795089694,-0.000659264891286995,-0.000583782608649318,True,3,0.0,0.0
Dominican Republic,2022-Q4,2022,1,ECFNT,3,True,True,4777491.0,3651032965.3,765.1,4779025.0,764.2155611177499,-0.001155978149588487,-0.0003209859751727601,True,3,0.0,0.0
Dominican Republic,2023-Q4,2023,1,ECFNT,3,True,True,4956053.0,4139698318.6000004,836.8,4957992.0,835.2812850467903,-0.001814907926875729,-0.00039108574600362406,True,3,0.0,0.0
Ecuador,2016-Q4,2016,1,ENEMDU,3,True,True,4970697.0,4166279518.2,842.8,4971445.0,838.1680714394781,-0.005495881063742084,-0.00015045927290757515,True,3,0.0,0.0
Ecuador,2017-Q4,2017,1,ENEMDU,3,True,True,5170164.0,4422506774.1,861.8,5170164.0,855.3900367763963,-0.007437877957302917,0.0,True,3,0.0,0.0
Ecuador,2018-Q4,2018,1,ENEMDU,3,True,True,5125616.0,4419611712.4,865.6,5125616.0,862.259621555731,-0.003859032398647238,0.0,True,3,0.0,0.0
Ecuador,2019-Q4,2019,1,ENEMDU,3,True,True,5117508.0,4298073760.0,842.7,5118367.0,839.8763148000941,-0.003350759700849627,-0.00016782696512383734,True,3,0.0,0.0
Ecuador,2020-Q4,2020,1,ENEMDU,3,True,True,5051947.0,3725679673.6,739.4,5051947.0,737.4740221146421,-0.0026047848057314557,0.0,True,3,0.0,0.0
Ecuador,2021-Q4,2021,2,ENEMDU,3,True,True,8106799.0,5550735856.9,697.8,8106799.0,684.7013052747452,-0.018771416917819927,0.0,True,3,0.0,0.0
Ecuador,2022-Q4,2022,2,ENEMDU,3,True,True,8174115.0,5765096181.9,720.2,8174410.0,705.2868942876385,-0.020706894907472347,-3.6088231444226554e-05,True,3,0.0,0.0
Ecuador,2023-Q4,2023,2,ENEMDU,3,True,True,8226745.0,5759413366.0,714.9,8228873.0,700.0840996044001,-0.020724437537557556,-0.0002586016335408263,True,3,0.0,0.0
Ecuador,2024-Q4,2024,2,ENEMDU,3,True,True,8230120.0,5709266587.599999,707.5,8230158.0,693.7039299062467,-0.019499745715552387,-4.6171653083695355e-06,True,3,0.0,0.0
El Salvador,2016-Q4,2016,1,EHPM,3,True,True,2712250.0,1517402390.7,563.6,2712250.0,559.4625829846069,-0.007341052191967906,0.0,True,3,0.0,0.0
El Salvador,2017-Q4,2017,1,EHPM,3,True,True,2691430.0,1579213381.0,589.7,2693909.0,586.7562526240697,-0.004991940606970227,-0.0009202241055655555,True,3,0.0,0.0
El Salvador,2018-Q4,2018,1,EHPM,3,True,True,2756269.0,1715835472.7000003,625.5,2756269.0,622.5210502675901,-0.004762509564204456,0.0,True,3,0.0,0.0
El Salvador,2019-Q4,2019,1,EHPM,3,True,True,2780991.0,1852296823.8,670.7,2780991.0,666.056389179253,-0.006923528881388229,0.0,True,3,0.0,0.0
El Salvador,2020-Q4,2020,1,EHPM,3,True,True,2789753.0,1917598702.1,690.9,2789753.0,687.3722161424326,-0.005106070136875566,0.0,True,3,0.0,0.0
El Salvador,2021-Q4,2021,1,EHPM,3,True,True,2707757.0,1805770490.8999999,668.9,2707757.0,666.8879411631102,-0.0030080114170874038,0.0,True,3,0.0,0.0
El Salvador,2022-Q4,2022,1,EHPM,3,True,True,2869876.0,1803945925.8,630.7,2869876.0,628.579745536044,-0.0033617480005644997,0.0,True,3,0.0,0.0
El Salvador,2023-Q4,2023,1,EHPM,3,True,True,2822789.0,1940509005.1,690.5,2822789.0,687.4438738070752,-0.00442596117729878,0.0,True,3,0.0,0.0
Guatemala,2016-Q4,2016,1,ENEI,3,True,True,6642062.0,4048261675.3,613.9,6642062.0,609.48869120764,-0.0071857123185534,0.0,True,3,0.0,0.0
Guatemala,2017-Q4,2017,1,ENEI,3,True,True,6956627.0,4028404993.0,585.5,6956627.0,579.0744556233933,-0.010974456663717668,0.0,True,3,0.0,0.0
Guatemala,2018-Q4,2018,1,ENEI,3,True,True,7001211.0,4092989959.2,589.6,7001211.0,584.6117134878523,-0.008460458806220723,0.0,True,3,0.0,0.0
Guatemala,2019-Q4,2019,1,ENEI,3,True,True,7267209.0,4395348602.5,610.3,7267209.0,604.8193470835915,-0.008980260390641353,0.0,True,3,0.0,0.0
Guatemala,2021-Q4,2021,1,ENEI,3,True,True,7234957.0,3772557595.7,527.0,7234957.0,521.4346948710269,-0.010560351288374074,0.0,True,3,0.0,0.0
Guatemala,2022-Q4,2022,1,ENEI,3,True,True,6949059.0,4373276935.299999,634.0,6949059.0,629.3336889642179,-0.007360112043820326,0.0,True,3,0.0,0.0
Mexico,2016-Q4,2016,1,ENOE,3,True,True,51337636.0,32866659218.4,614.5,51389704.0,640.205934266237,0.041832277080939013,-0.0010131990641549522,True,3,0.0,0.0
Mexico,2017-Q4,2017,1,ENOE,3,True,True,52108865.0,32607173804.0,598.1,52175410.0,625.7509888960352,0.046231380866134736,-0.0012754092397165638,True,3,0.0,0.0
Mexico,2018-Q4,2018,1,ENOE,3,True,True,53574285.0,33767428300.1,602.1,53639067.0,630.2917211139635,0.04682232372357327,-0.0012077391279009383,True,3,0.0,0.0
Mexico,2019-Q4,2019,1,ENOE,3,True,True,55238086.0,35464747068.5,618.7,55301988.0,642.0343215458262,0.03771508250497192,-0.00115550999721746,True,3,0.0,0.0
Mexico,2020-Q4,2020,1,ENOE,3,True,True,53024821.0,34665076713.4,630.3,53084911.0,653.7518856197554,0.03720749741354188,-0.0011319600780719027,True,3,0.0,0.0
Mexico,2021-Q4,2021,1,ENOE,3,True,True,56444830.0,36920424325.6,632.1,56568108.0,654.0975378187869,0.03480072428221309,-0.0021792844830518282,True,3,0.0,0.0
Mexico,2022-Q4,2022,1,ENOE,3,True,True,58220411.0,38224665301.2,635.5,58310722.0,656.5509353961792,0.03312499668950302,-0.0015487889174138506,True,3,0.0,0.0
Mexico,2023-Q4,2023,1,ENOE,3,True,True,59263747.0,41384030008.1,673.4,59363084.0,698.3026234925712,0.036980432866901176,-0.0016733800420476806,True,3,0.0,0.0
Paraguay,2017-Q4,2017,2,EPHC,3,True,True,3055833.0,3054170042.1,1007.0,3058454.0,999.4558086453022,-0.007491749110921324,-0.0008569689130521499,True,3,0.0,0.0
Paraguay,2018-Q4,2018,2,EPHC,3,True,True,3142263.0,3120532585.1000004,1001.1,3143770.0,993.0844697277091,-0.008006722877126064,-0.00047936076748617104,True,3,0.0,0.0
Paraguay,2019-Q4,2019,2,EPHC,3,True,True,3465768.0,3433931686.0,998.8,3466761.0,990.8140666080361,-0.007995528025594554,-0.00028643451336853043,True,3,0.0,0.0
Paraguay,2020-Q4,2020,2,EPHC,3,True,True,3452467.0,3169629817.3999996,926.2,3454040.0,918.0767889743768,-0.008770471848006129,-0.00045540873875230166,True,3,0.0,0.0
Paraguay,2021-Q4,2021,2,EPHC,3,True,True,3512954.0,3087513260.0,886.7,3513422.0,878.8937344468501,-0.008803727927314712,-0.00013320346943805782,True,3,0.0,0.0
Paraguay,2022-Q4,2022,3,EPHC,3,True,True,2816226.0,2594857283.2,926.8,2820258.0,921.395258477125,-0.005831615799390299,-0.0014296564356877988,True,3,0.0,0.0
Paraguay,2023-Q4,2023,3,EPHC,3,True,True,2938970.0,2922016365.8,1002.0,2939381.0,994.2314367958843,-0.007753057089935836,-0.0001398253577879152,True,3,0.0,0.0
Peru (Lima and Callao),2016-Q4,2016,1,EPE,3,True,True,4865613.0,4498673302.0,926.8,4865613.0,924.5851040763004,-0.002389831596568408,0.0,True,3,0.0,0.0
Peru (Lima and Callao),2017-Q4,2017,1,EPE,3,True,True,4886891.0,4478506495.1,923.7,4886891.0,916.4326552607783,-0.007867646139679224,0.0,True,3,0.0,0.0
Peru (Lima and Callao),2018-Q4,2018,1,EPE,3,True,True,4967019.0,4498116626.4,913.8,4967019.0,905.5968230441638,-0.0089769938234145,0.0,True,3,0.0,0.0
Peru (Lima and Callao),2019-Q4,2019,1,EPE,3,True,True,5003626.0,4618005939.0,929.9,5003626.0,922.9318776023628,-0.007493410471703642,0.0,True,3,0.0,0.0
Peru (Lima and Callao),2020-Q4,2020,1,EPE,3,True,True,4347510.0,3410031812.0999994,791.2,4347510.0,784.364340070523,-0.008639610628762714,0.0,True,3,0.0,0.0
Peru (Lima and Callao),2021-Q4,2021,1,EPE,3,True,True,4891924.0,3628407367.2,741.7,4891924.0,741.7137648091017,1.8558459082707912e-05,0.0,True,3,0.0,0.0
Peru (Lima and Callao),2022-Q4,2022,1,EPE,3,True,True,5057319.0,4046316078.3,804.8,5060633.0,800.0911309529813,-0.0058509804262160195,-0.0006548587894044085,True,3,0.0,0.0
Peru (Lima and Callao),2023-Q4,2023,1,EPE,3,True,True,5288430.0,4363714415.4,828.8,5294304.0,825.1436466777474,-0.004411623217003602,-0.0011094942791347077,True,3,0.0,0.0
Uruguay,2016-Q4,2016,1,ECH,3,True,True,1652556.0,1866376214.4,1129.9,1653772.0,1129.3875756101459,-0.0004535130452732381,-0.0007352887822505158,True,3,0.0,0.0
Uruguay,2017-Q4,2017,1,ECH,3,True,True,1646218.0,1935386844.0,1175.9,1648689.0,1175.656470771186,-0.00020710028813178684,-0.0014987665957618447,True,3,0.0,0.0
Uruguay,2018-Q4,2018,1,ECH,3,True,True,1660943.0,1890405862.0,1139.2,1661704.0,1138.1521593456248,-0.0009198039452029932,-0.0004579636325121682,True,3,0.0,0.0
Uruguay,2019-Q4,2019,1,ECH,3,True,True,1637128.0,1840985385.7,1125.5,1638016.0,1124.5213481780288,-0.0008695262745190564,-0.000542119246698445,True,3,0.0,0.0
Uruguay,2021-Q4,2021,3,ECH,3,True,True,1648699.0,1748655790.6,1062.5,1648699.0,1060.627677095698,-0.0017621862628725733,0.0,True,3,0.0,0.0
Uruguay,2022-Q4,2022,4,ECH,3,True,True,1651545.0,1846467382.8000002,1120.0,1651917.0,1118.0242638256907,-0.0017640501556333073,-0.0002251929122346946,True,3,0.0,0.0
Uruguay,2023-Q4,2023,4,ECH,3,True,True,1668590.0,1881734676.5,1128.9,1669222.0,1127.739394638587,-0.0010280851815156263,-0.0003786195005817081,True,3,0.0,0.0
