education,education_label,workers_0,workers_1,employment_share_0,employment_share_1,income_0_usd_2017_ppp,income_1_usd_2017_ppp,annualized_income_growth_percent
Total,Total,223126483.0,242751992.0,1.0,1.0,848.9159534500438,842.4512432124553,-0.15277113907957718
Educational attainment - low,Low,106064431.0,101143357.0,0.4753556349471972,0.41665304645574236,546.585032097141,548.5553183665834,0.07199068215866244
Educational attainment - middle,Middle,80218995.0,91462222.0,0.3595225179971129,0.37677228205814267,805.6218480336235,746.2385097412132,-1.5197178232997155
Educational attainment - high,High,36843057.0,50146413.0,0.16512184705568994,0.20657467148611494,1813.536418384066,1610.71059678785,-2.3441539481157347
