window,aggregation,n_countries,mean_income_0_usd_2017_ppp,mean_income_1_usd_2017_ppp,change_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp,country_composition_component_usd_2017_ppp,residual_usd_2017_ppp,percent_change,education_contribution_percent_initial,within_income_contribution_percent_initial,country_composition_contribution_percent_initial
2016-2019,fixed_employment_weights,13,838.2563249026631,848.5094568756111,10.25313197294804,30.261100696174033,-20.007968723226046,0.0,5.3290705182007514e-14,1.2231499683749618,3.6100056506806437,-2.3868556823056886,0.0
2016-2019,equal_country_weights,13,916.0215918731011,920.2348369777199,4.21324510461875,24.970905077523447,-20.757659972904793,0.0,9.592326932761353e-14,0.459950414051203,2.7260170829011128,-2.2660666688499203,0.0
2016-2019,changing_employment_weights,13,838.6284271277269,848.0710910754407,9.442663947713754,30.263577101938036,-20.008216007967757,-0.8126971462564293,-9.581224702515101e-14,1.125965164340368,3.608699171525789,-2.3858261132996885,-0.09690789388572107
2016-2023,fixed_employment_weights,9,853.5581539960257,872.9059680259667,19.34781402994099,66.5338936477158,-47.18607961777481,0.0,0.0,2.266724761442684,7.794887007549529,-5.528162246106844,0.0
2016-2023,equal_country_weights,9,951.8379731693342,925.5767742261276,-26.261198943206637,58.23967848843114,-84.50087743163786,0.0,8.526512829121202e-14,-2.7589988720207015,6.118654658682141,-8.877653530702851,0.0
2016-2023,changing_employment_weights,9,853.9205347976006,872.1343664144518,18.21383161685128,66.55563936026071,-47.17866036681391,-1.1631473765955191,-5.773159728050814e-15,2.1329656419573504,7.794125641449292,-5.524947397827407,-0.13621260166453458
2019-2023,fixed_employment_weights,9,862.78846079944,872.8513726024366,10.06291180299661,35.36666925658407,-25.303757453587618,0.0,1.5987211554602254e-13,1.1663243379115833,4.0991124549596,-2.9327881170480348,0.0
2019-2023,equal_country_weights,9,954.7186287322648,926.3962197137936,-28.322409018471262,32.83786280244935,-61.1602718209206,0.0,-1.4210854715202004e-14,-2.966571319141382,3.439533053424706,-6.4061043725660864,0.0
2019-2023,changing_employment_weights,9,862.9080388407543,872.6008275697998,9.692788729045446,35.36811228308025,-25.300469628493993,-0.3748539255407716,-4.0245584642661925e-14,1.1232701855538287,4.098711646097814,-2.932000687174393,-0.04344077336958837
