share_jump_screen,window,start_year,end_year,aggregation,n_countries,employees_0_thousands,employees_1_thousands,mean_wage_0_ppp_2021,mean_wage_1_ppp_2021,change_ppp_2021,education_component_ppp_2021,within_wage_component_ppp_2021,country_composition_component_ppp_2021,residual_ppp_2021,percent_change,annualized_percent_change,education_contribution_percent_initial,within_wage_contribution_percent_initial,country_composition_contribution_percent_initial
baseline_10pp,2010-2019,2010,2019,fixed_employment_weights,8,192054.88400000002,231337.87199999997,3251.8035615832828,3511.667628486976,259.86406690369313,119.19736447668146,140.66670242701156,0.0,1.1368683772161603e-13,7.991382689093524,0.8578950972150334,3.6655770319239394,4.325805657169581,0.0
baseline_10pp,2010-2019,2010,2019,equal_country_weights,8,192054.88400000002,231337.87199999997,1596.1475200268908,1823.580541301751,227.43302127486027,75.0358164752809,152.3972047995793,0.0,5.684341886080802e-14,14.248872264076732,1.4911074165431026,4.701057736443857,9.547814527632873,0.0
baseline_10pp,2010-2019,2010,2019,changing_employment_weights,8,192054.88400000002,231337.87199999997,3323.3177619220046,3453.0071823641233,129.68942044211872,119.39569800109602,140.39574874662677,-130.10202630560477,7.105427357601002e-13,3.902408067265715,0.4262602335500354,3.592665720055756,4.22456589481923,-3.9148235476092923
baseline_10pp,2015-2019,2015,2019,fixed_employment_weights,17,327690.837,352443.48,2550.169312441337,2707.5355358714323,157.3662234300955,44.56932381969924,112.79689961039617,0.0,8.526512829121202e-14,6.170814724432752,1.5082375871966924,1.747700578242469,4.42311414619028,0.0
baseline_10pp,2015-2019,2015,2019,equal_country_weights,17,327690.837,352443.48,1798.0161450641917,1928.2656638256735,130.2495187614818,30.142222909118146,100.10729585236335,0.0,2.984279490192421e-13,7.244068364960744,1.7638010424425588,1.6764155868045347,5.567652778156193,0.0
baseline_10pp,2015-2019,2015,2019,changing_employment_weights,17,327690.837,352443.48,2564.8092272101835,2693.4444822669407,128.63525505675716,44.581086908546844,112.80323970636456,-28.749071558153975,-2.6645352591003757e-13,5.015392711943625,1.2309331472856178,1.738183348515124,4.398114234369933,-1.1209048709414213
baseline_10pp,2019-2023,2019,2023,fixed_employment_weights,11,249147.895,275106.26800000004,1248.3118700421492,1292.8468502925493,44.53498025040017,30.811432209758287,13.723548040641672,0.0,2.078337502098293e-13,3.5676165002657907,0.880214124465506,2.468247955434241,1.099368544831533,0.0
baseline_10pp,2019-2023,2019,2023,equal_country_weights,11,249147.895,275106.26800000004,1706.201930190816,1740.6042339476744,34.40230375685837,29.12439328384175,5.277910473016249,0.0,3.730349362740526e-13,2.016309039869093,0.5003100685633255,1.706972238660202,0.3093368012088689,0.0
baseline_10pp,2019-2023,2019,2023,changing_employment_weights,11,249147.895,275106.26800000004,1253.9491281846426,1288.6919218873277,34.74279370268505,30.819941814725183,13.665527410454748,-9.742675522494848,-3.552713678800501e-14,2.7706701110740126,0.6855848494399241,2.4578303156000905,1.089799187486856,-0.776959392012931
strict_5pp,2010-2019,2010,2019,fixed_employment_weights,7,175399.44900000002,205448.936,3551.0340221860165,3800.0676415019325,249.03361931591598,131.66691684770925,117.36670246820651,0.0,2.2737367544323206e-13,7.01298882973278,0.7559544840525678,3.7078472361877033,3.3051415935450703,0.0
